## DiploLocus-likelihood. u01 = 1.25e-08, u10 = 1.25e-08, Ne = 5000.0
## Analyze 51 pairs of sel. coef.
## VCF: Ex2_UK_v54.1_all_chr2_135e6-137e6.vcf
## meta info: Ex2_v54_UK_1240K_noFam_strictPASS_from4500.info
## generation time 28.1 units,## Computing likelihoods for 450 loci at 94 time points: 0, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 55, 56, 57, 58, 59, 60, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 94, 96, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 129
##    Max sample sizes at each time: 2, 1, 2, 1, 1, 3, 6, 2, 1, 5, 4, 2, 3, 4, 3, 3, 6, 1, 2, 2, 3, 5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 2, 5, 2, 2, 1, 4, 4, 2, 2, 2, 1, 2, 3, 3, 2, 4, 5, 1, 3, 5, 4, 1, 8, 3, 4, 2, 2, 5, 5, 4, 1, 3, 9, 5, 28, 51, 18, 21, 6, 9, 7, 14, 6, 3, 5, 4, 7, 1, 4, 1, 4, 30, 3, 9, 7, 1, 2, 1, 3, 3, 42, 1, 1
## Assume constant selection pressure throughout the duration considered
ID	ongrid_s2hat	ongrid_maxLogLikelihood	s2hat	maxLogLikelihood	MLR	chi2_p
2_135000500_rs1257186	0.015811388300841896	-75.86630468365698	0.013482761476504285	-75.8351587397009	2.0815817554242813	0.14908561627803596
2_135005832_rs1257196	-0.0023207944168063908	-76.04122278146691	-0.002488052448400866	-76.04107741740494	0.06494644784075376	0.7988420994508096
2_135007736_rs1257197	0.007338996338110344	-69.62695312463147	0.006576234791942463	-69.62401388592998	0.4321044437164403	0.5109581324284418
2_135008041_rs1257198	0.007338996338110344	-72.07552413651273	0.006954521119308311	-72.07479312382092	0.4718992397815782	0.4921147245967058
2_135015347_rs1257220	0.001077217345015941	-65.83992149984212	0.0012175909443862256	-65.83982674889198	0.01408148132873066	0.905540435682477
2_135016618_rs1257221	0.01077217345015941	-46.932752388989904	0.011894074406757913	-46.928325415511765	0.9818232894110253	0.32174907957268334
2_135017074_rs16830277	-0.015811388300841896	-59.139199121131654	-0.013791938808863416	-59.12560777945901	1.2389302012921917	0.2656773297660574
2_135017617_rs7586139	-0.004999999999999999	-92.13568798893702	-0.0060038081878055795	-92.12779564973329	0.5620518749537666	0.45343469040288864
2_135020700_rs3791268	-0.015811388300841896	-58.83522920266716	-0.019457152274833685	-58.79248886864969	2.3759291379873844	0.12321826652044024
2_135022906_rs6735741	-0.015811388300841896	-38.20813207814902	-0.01400558898766263	-38.20200945714758	0.7124300626885685	0.39863826846835204
2_135024676_rs3791274	-0.023207944168063894	-31.55422192602882	-0.025244697378544276	-31.547428401217722	2.0058171809592267	0.1566968327688393
2_135024766_rs935471	-0.03406460345289807	-55.883576067252385	-0.038220457342334216	-55.823947298757396	9.987831447884005	0.0015757806657470245
